"TractId","State","County","TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment"
48453000604,"Texas","Travis County",7140,3755,3385,14.6,54.9,3.3,0.9,23.5,0,6102,8975,2047,5950,1556,83.9,31.1,46,22.3,28.9,0,2.8,42.8,1.4,2.4,45.1,4.6,3.7,16.3,2007,65.3,34.1,0.6,0,10.2
48453000700,"Texas","Travis County",1123,702,421,21.6,65.9,1.8,1.9,6.2,0,1028,61685,8154,60937,12942,19.6,0,62,5.8,23.9,0.5,7.8,56.9,1,4.1,18,10.5,9.5,13.7,744,75.1,21.8,2.6,0.5,2.7
48453000801,"Texas","Travis County",1877,958,919,58.4,33.3,8.3,0,0,0,1414,43417,13788,22552,3948,16,11.2,35.6,27.8,13.8,11.8,11.1,57.6,16.7,5,4.8,12.5,3.4,24.2,821,77,11.8,11.2,0,8.9
48453000802,"Texas","Travis County",3377,1432,1945,34.1,28.2,35.2,0,0.4,0,2427,40579,8638,25581,6103,48.4,89.5,41.1,23.6,20.2,5,10.2,54,17.1,9.8,0,17.2,1.8,22.3,1694,78.3,18.9,2.8,0,2.3
48453000803,"Texas","Travis County",2489,1595,894,13.6,67,14,0,2.1,0,2150,83387,15326,41125,4969,9.6,0,57.8,20.3,10.5,5.4,6,63.9,9.9,6.9,0.8,6.6,11.9,19.3,1749,77.6,11,8,3.4,7.1
48453000804,"Texas","Travis County",2452,1273,1179,43.2,35,17.4,0,1.9,0,1704,38711,7688,29754,3612,33.8,50.5,51.6,14.4,18.6,7.7,7.7,54.4,11.2,9.4,4.1,7.5,13.4,20.6,1259,77.1,9.5,13.3,0,8.1
48453000901,"Texas","Travis County",2424,1234,1190,37.1,41.4,13.7,0,4.6,0,1937,77845,15794,36682,6018,17.9,61.3,48,23.5,19.7,4.2,4.5,65.6,6.2,3.9,10.8,6.9,6.6,21,1587,82.3,11.9,5.8,0,6.4
48453000902,"Texas","Travis County",5473,2704,2769,62.3,28.9,5.3,0.2,2,0,3448,46969,13442,29681,5060,22.9,40.1,37.9,22.3,23.1,11.6,5,66.6,9.3,4.9,2.5,7.1,9.6,25.5,3026,83.8,8.8,7.4,0,5.2
48453001000,"Texas","Travis County",3770,1879,1891,56.6,36.1,2.9,0,2.3,0,2876,64643,18944,35891,5926,12.1,10.8,41.2,24.4,25.4,3.4,5.5,64.3,9,6.2,3.5,8.6,8.4,16.1,2131,72,13.1,14.9,0,6.7
48453001100,"Texas","Travis County",6001,3617,2384,14.7,73.2,5.2,0,6.7,0,5601,131944,28789,127940,24796,14.2,0,75.5,2.5,18.4,1.7,1.9,66.3,2.2,1.7,8.4,4.7,16.8,21.2,4582,80.2,9.8,10,0,1.5
48453001200,"Texas","Travis County",4972,2451,2521,7.6,80,1.4,0.3,8.8,0,4276,71190,16643,71558,9745,5.3,8.3,64,8.2,19.9,3.2,4.7,55.7,2.2,6.8,14.7,6.6,14,20.1,3632,78.2,9.9,11.5,0.4,3.2
