STATEFP00,COUNTYFP00,TRACTCE00,CTIDFP00,NAME00,NAMELSAD00,MTFCC00,FUNCSTAT00,ALAND00,AWATER00,INTPTLAT00,INTPTLON00
"48","453","002416","48453002416","24.16",Census Tract 24.16,G5020,S,"176004181","1222848","+30.1509847","-097.6073119"
"48","453","002407","48453002407","24.07",Census Tract 24.07,G5020,S,"15336548","3309","+30.1289958","-097.8155856"
"48","453","001606","48453001606","16.06",Census Tract 16.06,G5020,S,"503361","0","+30.3056735","-097.7608258"
"48","453","002310","48453002310","23.10",Census Tract 23.10,G5020,S,"17920602","668149","+30.2423539","-097.6592003"
"48","453","002303","48453002303","23.03",Census Tract 23.03,G5020,S,"18079617","2097","+30.1933181","-097.6684288"
"48","453","001746","48453001746","17.46",Census Tract 17.46,G5020,S,"2510253","0","+30.1860608","-097.8382518"
"48","453","002206","48453002206","22.06",Census Tract 22.06,G5020,S,"217038902","2912797","+30.2744146","-097.5292136"
"48","453","002205","48453002205","22.05",Census Tract 22.05,G5020,S,"44533665","5189943","+30.2987442","-097.6060777"
"48","453","002202","48453002202","22.02",Census Tract 22.02,G5020,S,"12834094","10175","+30.3166763","-097.6303394"
"48","453","002201","48453002201","22.01",Census Tract 22.01,G5020,S,"5248982","1348","+30.3191767","-097.6559615"
"48","453","001719","48453001719","17.19",Census Tract 17.19,G5020,S,"4780554","394916","+30.3494679","-097.7805803"
"48","453","001718","48453001718","17.18",Census Tract 17.18,G5020,S,"3518859","0","+30.3482976","-097.7610378"
"48","453","001713","48453001713","17.13",Census Tract 17.13,G5020,S,"2581418","0","+30.2107953","-097.8052974"
"48","453","001712","48453001712","17.12",Census Tract 17.12,G5020,S,"2293456","0","+30.2237786","-097.7972514"
"48","453","001707","48453001707","17.07",Census Tract 17.07,G5020,S,"2777942","0","+30.3727578","-097.7463764"
"48","453","001706","48453001706","17.06",Census Tract 17.06,G5020,S,"2396463","0","+30.3823050","-097.7568683"
"48","453","002111","48453002111","21.11",Census Tract 21.11,G5020,S,"6510859","386423","+30.2571318","-097.6854100"
"48","453","001913","48453001913","19.13",Census Tract 19.13,G5020,S,"11902647","683803","+30.3181162","-097.7980058"
"48","453","001906","48453001906","19.06",Census Tract 19.06,G5020,S,"21928732","72","+30.3064922","-097.8530923"
"48","453","001904","48453001904","19.04",Census Tract 19.04,G5020,S,"13032174","0","+30.2878552","-097.8059177"
"48","453","001910","48453001910","19.10",Census Tract 19.10,G5020,S,"6606198","259809","+30.2700666","-097.7980310"
"48","453","001834","48453001834","18.34",Census Tract 18.34,G5020,S,"15741218","0","+30.3506755","-097.6604048"
"48","453","001908","48453001908","19.08",Census Tract 19.08,G5020,S,"32244894","502","+30.2757842","-097.8781925"
"48","453","001833","48453001833","18.33",Census Tract 18.33,G5020,S,"3255128","0","+30.3640065","-097.6764904"
"48","453","001840","48453001840","18.40",Census Tract 18.40,G5020,S,"9075132","5331","+30.4273273","-097.6533265"
"48","453","001852","48453001852","18.52",Census Tract 18.52,G5020,S,"6868685","0","+30.4454445","-097.6969656"
"48","453","001705","48453001705","17.05",Census Tract 17.05,G5020,S,"5334357","0","+30.3697060","-097.7740394"
"48","453","001909","48453001909","19.09",Census Tract 19.09,G5020,S,"19983568","0","+30.2518707","-097.8383850"
"48","453","001605","48453001605","16.05",Census Tract 16.05,G5020,S,"1894558","0","+30.2867724","-097.7605747"
"48","453","001604","48453001604","16.04",Census Tract 16.04,G5020,S,"3035641","309972","+30.3035330","-097.7743030"
"48","453","001603","48453001603","16.03",Census Tract 16.03,G5020,S,"2566216","0","+30.2984096","-097.7564212"
"48","453","001602","48453001602","16.02",Census Tract 16.02,G5020,S,"2635873","219713","+30.2900812","-097.7782020"
"48","453","001505","48453001505","15.05",Census Tract 15.05,G5020,S,"2150837","0","+30.3363798","-097.7304217"
"48","453","001504","48453001504","15.04",Census Tract 15.04,G5020,S,"2641847","0","+30.3465502","-097.7250523"
"48","453","001851","48453001851","18.51",Census Tract 18.51,G5020,S,"7533288","1296","+30.4623101","-097.6772253"
"48","453","001824","48453001824","18.24",Census Tract 18.24,G5020,S,"1439104","0","+30.3851030","-097.6791938"
"48","453","001732","48453001732","17.32",Census Tract 17.32,G5020,S,"44189607","0","+30.1671497","-097.8756296"
"48","453","001749","48453001749","17.49",Census Tract 17.49,G5020,S,"4256665","0","+30.2303534","-097.8443716"
"48","453","001843","48453001843","18.43",Census Tract 18.43,G5020,S,"1098538","0","+30.3885474","-097.6999973"
