,Census Tract Start,Day of Week,Hour,num_trips,TractId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
30,48453000101,1,16.0,28,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
31,48453000101,1,17.0,5,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
32,48453000101,1,18.0,4,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
33,48453000101,1,19.0,5,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
34,48453000101,1,20.0,28,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
35,48453000101,1,21.0,7,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
36,48453000101,1,22.0,1,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
37,48453000101,1,23.0,2,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
38,48453000101,2,4.0,1,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
39,48453000101,2,5.0,1,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
40,48453000101,2,6.0,1,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
